IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.219.58.250,443,443,true,SEA,North America,US,Seattle,248,10.11
35.164.15.14,443,443,true,SEA,North America,US,Seattle,368,10.11
35.160.249.20,443,443,true,SEA,North America,US,Seattle,330,10.11
52.39.105.242,443,443,true,SEA,North America,US,Seattle,218,10.11
54.228.99.54,8080,443,true,DUB,Europe,IE,Dublin,369,10.11
52.34.112.219,443,443,true,SEA,North America,US,Seattle,220,10.10
34.210.227.151,443,443,true,SEA,North America,US,Seattle,293,10.09
35.163.138.73,443,443,true,SEA,North America,US,Seattle,351,10.09
54.149.223.187,443,443,true,PDX,North America,US,Portland,358,10.08
34.219.29.121,443,443,true,SEA,North America,US,Seattle,239,10.08
34.210.57.125,443,443,true,SEA,North America,US,Seattle,280,10.08
52.37.204.225,443,443,true,SEA,North America,US,Seattle,306,10.08
54.191.97.107,443,443,true,PDX,North America,US,Portland,295,10.08
52.42.61.146,443,443,true,SEA,North America,US,Seattle,264,10.07
52.39.31.79,443,443,true,SEA,North America,US,Seattle,349,10.07
34.210.62.3,443,443,true,SEA,North America,US,Seattle,289,10.07
34.215.39.179,443,443,true,SEA,North America,US,Seattle,328,10.07
44.227.209.152,443,443,true,PDX,North America,US,Portland,308,10.06
34.216.69.78,443,443,true,SEA,North America,US,Seattle,256,10.06
35.92.116.193,443,443,true,SEA,North America,US,Seattle,270,10.06
54.186.98.107,443,443,true,PDX,North America,US,Portland,407,10.05
35.163.119.237,443,443,true,SEA,North America,US,Seattle,288,10.05
52.33.229.250,443,443,true,SEA,North America,US,Seattle,229,10.05
52.40.221.63,443,443,true,SEA,North America,US,Seattle,280,10.04
52.37.204.225,443,443,true,SEA,North America,US,Seattle,292,10.04
54.244.57.46,443,443,true,PDX,North America,US,Portland,270,10.04
52.33.27.192,443,443,true,SEA,North America,US,Seattle,237,10.04
54.213.134.77,443,443,true,SEA,North America,US,Seattle,267,10.04
3.78.24.246,8443,443,true,FRA,Europe,DE,Frankfurt,338,10.04
35.93.28.166,443,443,true,SEA,North America,US,Seattle,235,10.04
54.245.155.49,443,443,true,PDX,North America,US,Portland,297,10.04
52.41.189.178,443,443,true,SEA,North America,US,Seattle,319,10.03
34.217.176.250,443,443,true,SEA,North America,US,Seattle,263,10.03
54.200.144.234,443,443,true,SEA,North America,US,Seattle,249,10.03
52.41.68.215,443,443,true,SEA,North America,US,Seattle,301,10.02
34.221.172.42,443,443,true,SEA,North America,US,Seattle,348,10.02
34.220.168.80,443,443,true,SEA,North America,US,Seattle,345,10.02
52.37.111.141,443,443,true,SEA,North America,US,Seattle,306,10.02
54.185.37.197,443,443,true,SEA,North America,US,Seattle,281,10.02
35.167.80.86,443,443,true,SEA,North America,US,Seattle,232,10.02
54.189.140.25,443,443,true,SEA,North America,US,Seattle,345,10.00
52.89.219.134,443,443,true,SEA,North America,US,Seattle,235,10.00
52.39.31.79,443,443,true,SEA,North America,US,Seattle,218,9.99
34.219.29.205,443,443,true,PDX,North America,US,Portland,241,9.99
34.216.71.8,443,443,true,SEA,North America,US,Seattle,219,9.99
54.185.230.15,443,443,true,PDX,North America,US,Portland,327,9.98
54.201.113.32,443,443,true,SEA,North America,US,Seattle,215,9.98
34.217.32.16,443,443,true,SEA,North America,US,Seattle,328,9.97
52.33.4.139,443,443,true,SEA,North America,US,Seattle,321,9.97
35.164.141.65,443,443,true,SEA,North America,US,Seattle,370,9.97
54.218.228.34,443,443,true,SEA,North America,US,Seattle,345,9.97
35.164.213.210,443,443,true,SEA,North America,US,Seattle,262,9.97
34.214.190.217,443,443,true,SEA,North America,US,Seattle,324,9.97
54.203.21.227,443,443,true,PDX,North America,US,Portland,290,9.97
54.186.171.250,443,443,true,PDX,North America,US,Portland,363,9.97
52.36.255.172,443,443,true,SEA,North America,US,Seattle,284,9.97
44.242.221.178,443,443,true,SEA,North America,US,Seattle,297,9.96
52.32.174.185,443,443,true,SEA,North America,US,Seattle,300,9.96
54.213.191.93,443,443,true,PDX,North America,US,Portland,260,9.96
54.189.186.13,443,443,true,PDX,North America,US,Portland,284,9.96
54.213.223.188,443,443,true,SEA,North America,US,Seattle,324,9.96
34.223.229.89,443,443,true,SEA,North America,US,Seattle,282,9.95
52.40.253.118,443,443,true,SEA,North America,US,Seattle,278,9.94
52.37.149.253,443,443,true,SEA,North America,US,Seattle,261,9.94
51.20.161.26,443,443,true,ARN,Europe,SE,Stockholm,229,9.94
35.166.49.117,443,443,true,SEA,North America,US,Seattle,377,9.93
35.89.255.125,443,443,true,SEA,North America,US,Seattle,268,9.93
34.223.225.54,443,443,true,SEA,North America,US,Seattle,219,9.93
54.190.252.129,443,443,true,SEA,North America,US,Seattle,253,9.93
35.92.36.30,443,443,true,SEA,North America,US,Seattle,284,9.92
52.33.27.192,443,443,true,SEA,North America,US,Seattle,375,9.92
35.160.249.20,443,443,true,SEA,North America,US,Seattle,285,9.91
34.209.145.119,443,443,true,SEA,North America,US,Seattle,278,9.91
34.208.184.50,443,443,true,PDX,North America,US,Portland,286,9.91
47.129.168.154,443,443,true,SIN,Asia Pacific,SG,Singapore,247,9.91
54.169.170.86,443,443,true,SIN,Asia Pacific,SG,Singapore,253,9.91
51.20.207.0,443,443,true,ARN,Europe,SE,Stockholm,187,9.91
52.39.87.39,443,443,true,SEA,North America,US,Seattle,299,9.90
54.200.111.48,443,443,true,SEA,North America,US,Seattle,504,9.90
18.237.72.106,443,443,true,SEA,North America,US,Seattle,218,9.90
34.213.167.21,443,443,true,SEA,North America,US,Seattle,222,9.90
54.190.54.95,443,443,true,PDX,North America,US,Portland,276,9.90
34.209.218.250,443,443,true,SEA,North America,US,Seattle,258,9.90
52.39.105.242,443,443,true,SEA,North America,US,Seattle,214,9.90
44.227.209.152,443,443,true,PDX,North America,US,Portland,480,9.90
54.67.51.104,8443,443,true,SJC,North America,US,San Jose,487,9.89
35.161.254.96,443,443,true,SEA,North America,US,Seattle,271,9.89
54.186.167.251,443,443,true,PDX,North America,US,Portland,329,9.89
52.40.57.179,443,443,true,SEA,North America,US,Seattle,282,9.89
54.185.60.241,443,443,true,SEA,North America,US,Seattle,226,9.89
52.13.212.170,443,443,true,SEA,North America,US,Seattle,224,9.89
54.202.0.116,443,443,true,PDX,North America,US,Portland,278,9.88
54.201.215.188,443,443,true,PDX,North America,US,Portland,285,9.88
34.211.36.44,443,443,true,PDX,North America,US,Portland,271,9.88
52.24.52.243,443,443,true,SEA,North America,US,Seattle,312,9.88
52.38.118.189,443,443,true,SEA,North America,US,Seattle,231,9.88
34.213.177.161,443,443,true,SEA,North America,US,Seattle,295,9.87
52.38.253.39,443,443,true,SEA,North America,US,Seattle,263,9.86
52.33.209.182,443,443,true,SEA,North America,US,Seattle,256,9.86
35.94.176.205,443,443,true,SEA,North America,US,Seattle,265,9.86
51.20.207.0,443,443,true,ARN,Europe,SE,Stockholm,196,9.86
54.68.142.50,443,443,true,PDX,North America,US,Portland,251,9.86
35.89.22.204,443,443,true,SEA,North America,US,Seattle,321,9.86
35.90.0.16,443,443,true,SEA,North America,US,Seattle,273,9.86
34.218.130.79,443,443,true,PDX,North America,US,Portland,222,9.86
35.161.241.79,443,443,true,SEA,North America,US,Seattle,262,9.86
52.33.209.182,443,443,true,SEA,North America,US,Seattle,377,9.86
34.217.214.188,443,443,true,SEA,North America,US,Seattle,263,9.85
34.221.172.42,443,443,true,SEA,North America,US,Seattle,260,9.84
35.179.160.172,443,443,true,LHR,Europe,GB,London,344,9.84
44.242.214.51,443,443,true,SEA,North America,US,Seattle,216,9.84
35.161.229.227,443,443,true,SEA,North America,US,Seattle,255,9.84
54.177.177.164,443,443,true,SJC,North America,US,San Jose,354,9.83
52.43.127.102,443,443,true,SEA,North America,US,Seattle,346,9.83
54.188.84.63,443,443,true,SEA,North America,US,Seattle,316,9.83
54.244.56.252,443,443,true,PDX,North America,US,Portland,361,9.83
52.24.15.209,443,443,true,PDX,North America,US,Portland,306,9.83
52.26.243.182,443,443,true,SEA,North America,US,Seattle,243,9.83
35.166.157.195,443,443,true,SEA,North America,US,Seattle,250,9.83
54.201.84.231,443,443,true,PDX,North America,US,Portland,334,9.83
34.223.223.80,443,443,true,SEA,North America,US,Seattle,345,9.83
34.209.147.205,443,443,true,SEA,North America,US,Seattle,247,9.82
54.183.114.29,443,443,true,SJC,North America,US,San Jose,356,9.82
34.211.228.209,443,443,true,SEA,North America,US,Seattle,264,9.82
52.42.51.77,443,443,true,SEA,North America,US,Seattle,276,9.82
34.210.65.43,443,443,true,SEA,North America,US,Seattle,301,9.81
35.161.37.156,443,443,true,SEA,North America,US,Seattle,403,9.81
34.209.213.67,443,443,true,SEA,North America,US,Seattle,250,9.81
52.26.1.249,443,443,true,SEA,North America,US,Seattle,319,9.81
52.88.34.18,443,443,true,SEA,North America,US,Seattle,255,9.80
35.164.159.45,443,443,true,SEA,North America,US,Seattle,279,9.80
54.200.206.23,443,443,true,SEA,North America,US,Seattle,334,9.80
34.221.148.95,443,443,true,SEA,North America,US,Seattle,273,9.80
34.217.59.39,443,443,true,SEA,North America,US,Seattle,266,9.80
54.185.242.150,443,443,true,PDX,North America,US,Portland,290,9.80
35.90.11.229,443,443,true,SEA,North America,US,Seattle,216,9.79
54.185.29.124,443,443,true,PDX,North America,US,Portland,225,9.79
54.201.196.181,443,443,true,SEA,North America,US,Seattle,295,9.79
35.87.32.125,443,443,true,SEA,North America,US,Seattle,226,9.79
54.218.9.74,443,443,true,PDX,North America,US,Portland,257,9.79
35.88.153.238,443,443,true,SEA,North America,US,Seattle,311,9.78
54.245.6.77,443,443,true,PDX,North America,US,Portland,246,9.78
35.86.82.245,443,443,true,SEA,North America,US,Seattle,249,9.77
52.32.43.186,443,443,true,SEA,North America,US,Seattle,224,9.77
54.67.51.104,2053,443,true,SJC,North America,US,San Jose,402,9.77
34.222.62.134,443,443,true,SEA,North America,US,Seattle,329,9.77
34.214.85.157,443,443,true,SEA,North America,US,Seattle,239,9.77
54.244.181.106,443,443,true,PDX,North America,US,Portland,270,9.76
52.10.126.28,443,443,true,SEA,North America,US,Seattle,390,9.76
67.226.223.131,443,443,true,LHR,Europe,GB,London,403,9.76
35.161.221.194,443,443,true,SEA,North America,US,Seattle,295,9.76
34.221.148.72,443,443,true,SEA,North America,US,Seattle,273,9.76
34.210.61.223,443,443,true,SEA,North America,US,Seattle,258,9.76
3.64.205.189,443,443,true,FRA,Europe,DE,Frankfurt,334,9.75
54.185.237.28,443,443,true,SEA,North America,US,Seattle,305,9.75
54.188.5.211,443,443,true,SEA,North America,US,Seattle,297,9.75
34.209.52.69,443,443,true,SEA,North America,US,Seattle,252,9.75
35.90.1.150,443,443,true,SEA,North America,US,Seattle,227,9.75
35.85.54.102,443,443,true,SEA,North America,US,Seattle,248,9.75
54.148.138.101,443,443,true,PDX,North America,US,Portland,222,9.75
34.210.57.125,443,443,true,SEA,North America,US,Seattle,253,9.75
54.212.57.215,443,443,true,SEA,North America,US,Seattle,218,9.75
35.164.213.210,443,443,true,SEA,North America,US,Seattle,243,9.75
54.201.12.37,443,443,true,SEA,North America,US,Seattle,290,9.74
34.217.144.96,443,443,true,SEA,North America,US,Seattle,250,9.74
52.37.177.122,443,443,true,SEA,North America,US,Seattle,283,9.73
52.40.228.126,443,443,true,SEA,North America,US,Seattle,306,9.73
34.208.184.50,443,443,true,SEA,North America,US,Seattle,272,9.73
35.167.165.36,443,443,true,SEA,North America,US,Seattle,259,9.73
34.213.153.77,443,443,true,SEA,North America,US,Seattle,246,9.73
54.186.98.107,443,443,true,SEA,North America,US,Seattle,366,9.73
54.189.152.22,443,443,true,SEA,North America,US,Seattle,266,9.72
44.243.19.158,443,443,true,SEA,North America,US,Seattle,259,9.72
35.93.20.121,443,443,true,SEA,North America,US,Seattle,233,9.71
54.148.167.46,443,443,true,SEA,North America,US,Seattle,290,9.71
54.74.253.197,2083,443,true,DUB,Europe,IE,Dublin,340,9.71
35.83.185.225,443,443,true,PDX,North America,US,Portland,285,9.71
54.70.124.100,443,443,true,PDX,North America,US,Portland,268,9.71
34.211.36.44,443,443,true,SEA,North America,US,Seattle,287,9.71
54.67.51.104,8443,443,true,SJC,North America,US,San Jose,339,9.70
35.163.186.75,443,443,true,SEA,North America,US,Seattle,302,9.70
54.218.77.160,443,443,true,PDX,North America,US,Portland,315,9.70
35.91.192.119,443,443,true,SEA,North America,US,Seattle,268,9.69
3.133.156.22,443,443,true,IAD,North America,US,Ashburn,242,9.69
54.202.149.59,443,443,true,PDX,North America,US,Portland,332,9.69
34.208.44.89,443,443,true,SEA,North America,US,Seattle,225,9.69
34.215.193.129,443,443,true,SEA,North America,US,Seattle,346,9.69
