IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
84.8.149.105,443,443,TRUE,FRA,Europe,DE,Frankfurt,492,6.17
84.235.160.214,443,443,TRUE,FRA,Europe,DE,Frankfurt,293,6.16
158.101.209.76,443,443,TRUE,AMS,Europe,NL,Amsterdam,349,6.15
152.70.61.48,443,443,TRUE,FRA,Europe,DE,Frankfurt,346,6.12
89.168.112.78,443,443,TRUE,FRA,Europe,DE,Frankfurt,172,6.12
79.76.98.46,443,443,TRUE,FRA,Europe,DE,Frankfurt,223,6.08
158.178.159.132,443,443,TRUE,FRA,Europe,DE,Frankfurt,339,6.07
158.178.156.97,443,443,TRUE,FRA,Europe,DE,Frankfurt,330,6.05
141.147.108.228,443,443,TRUE,FRA,Europe,DE,Frankfurt,320,6.03
158.180.31.246,443,443,TRUE,FRA,Europe,DE,Frankfurt,321,6.02
141.148.238.66,443,443,TRUE,FRA,Europe,DE,Frankfurt,308,6.01
158.178.158.185,443,443,TRUE,FRA,Europe,DE,Frankfurt,324,6
130.162.212.3,443,443,TRUE,FRA,Europe,DE,Frankfurt,373,6
84.235.164.109,443,443,TRUE,FRA,Europe,DE,Frankfurt,353,5.98
141.145.199.188,443,443,TRUE,CDG,Europe,FR,Paris,357,5.92
79.76.111.107,443,443,TRUE,FRA,Europe,DE,Frankfurt,250,5.9
152.70.20.22,443,443,TRUE,FRA,Europe,DE,Frankfurt,393,5.89
152.70.58.184,443,443,TRUE,FRA,Europe,DE,Frankfurt,335,5.89
168.138.212.80,443,443,TRUE,NRT,Asia Pacific,JP,Tokyo,151,5.89
79.72.77.206,443,443,TRUE,FRA,Europe,DE,Frankfurt,171,5.88
158.101.208.253,443,443,TRUE,FRA,Europe,DE,Frankfurt,280,5.87
168.138.212.196,2096,2096,TRUE,NRT,Asia Pacific,JP,Tokyo,155,5.83
130.162.221.142,443,443,TRUE,FRA,Europe,DE,Frankfurt,320,5.81
141.148.246.12,443,443,TRUE,FRA,Europe,DE,Frankfurt,170,5.81
141.147.74.46,443,443,TRUE,AMS,Europe,NL,Amsterdam,333,5.8
141.147.67.19,443,443,TRUE,FRA,Europe,DE,Frankfurt,399,5.77
130.162.180.64,443,443,TRUE,FRA,Europe,DE,Frankfurt,289,5.76
193.122.117.159,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,159,5.75
141.148.235.89,443,443,TRUE,FRA,Europe,DE,Frankfurt,279,5.73
141.148.244.104,443,443,TRUE,FRA,Europe,DE,Frankfurt,271,5.73
193.123.36.199,443,443,TRUE,FRA,Europe,DE,Frankfurt,331,5.72
158.180.20.17,443,443,TRUE,FRA,Europe,DE,Frankfurt,349,5.71
132.145.11.3,443,443,TRUE,FRA,Europe,DE,Frankfurt,326,5.69
158.180.94.195,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,186,5.68
138.2.135.237,443,443,TRUE,FRA,Europe,DE,Frankfurt,364,5.67
141.147.107.236,443,443,TRUE,FRA,Europe,DE,Frankfurt,317,5.67
130.162.230.17,443,443,TRUE,FRA,Europe,DE,Frankfurt,359,5.65
141.148.240.30,443,443,TRUE,FRA,Europe,DE,Frankfurt,271,5.63
129.154.46.115,443,443,TRUE,HYD,Asia Pacific,IN,Hyderabad,169,5.63
89.168.82.107,443,443,TRUE,FRA,Europe,DE,Frankfurt,246,5.6
168.138.165.174,443,443,TRUE,NRT,Asia Pacific,JP,Tokyo,86,5.6
141.147.95.21,443,443,TRUE,FRA,Europe,DE,Frankfurt,216,5.6
130.162.255.69,443,443,TRUE,FRA,Europe,DE,Frankfurt,368,5.59
150.230.196.248,443,443,TRUE,NRT,Asia Pacific,JP,Tokyo,281,5.59
141.147.118.211,443,443,TRUE,FRA,Europe,DE,Frankfurt,311,5.57
