IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
129.154.207.203,443,true,ICN,Asia Pacific,Seoul,72 ms,9870 kB/s
158.180.84.60,443,true,ICN,Asia Pacific,Seoul,122 ms,9196 kB/s
8.219.95.233,443,true,SIN,Asia Pacific,Singapore,108 ms,8432 kB/s
8.219.236.171,443,true,SIN,Asia Pacific,Singapore,146 ms,8346 kB/s
8.219.51.229,443,true,SIN,Asia Pacific,Singapore,123 ms,8175 kB/s
8.219.209.26,443,true,SIN,Asia Pacific,Singapore,142 ms,7702 kB/s
8.210.171.28,443,true,HKG,Asia Pacific,Hong Kong,81 ms,7488 kB/s
146.56.114.201,443,true,ICN,Asia Pacific,Seoul,107 ms,7423 kB/s
158.180.92.166,443,true,ICN,Asia Pacific,Seoul,123 ms,7394 kB/s
8.219.136.176,443,true,SIN,Asia Pacific,Singapore,126 ms,7305 kB/s
47.243.249.213,443,true,HKG,Asia Pacific,Hong Kong,63 ms,7113 kB/s
8.219.138.190,443,true,SIN,Asia Pacific,Singapore,116 ms,7030 kB/s
8.219.185.178,443,true,SIN,Asia Pacific,Singapore,354 ms,7011 kB/s
8.219.192.15,443,true,SIN,Asia Pacific,Singapore,125 ms,8874 kB/s
144.24.85.159,443,true,SIN,Asia Pacific,Singapore,158 ms,8813 kB/s
158.180.83.184,443,true,ICN,Asia Pacific,Seoul,147 ms,8762 kB/s
158.101.221.27,443,true,FRA,Europe,Frankfurt,204 ms,8649 kB/s
158.180.73.230,443,true,SIN,Asia Pacific,Singapore,270 ms,8597 kB/s
8.219.85.56,443,true,SIN,Asia Pacific,Singapore,98 ms,8593 kB/s
129.154.195.132,443,true,SIN,Asia Pacific,Singapore,144 ms,8580 kB/s
141.144.196.128,443,true,FRA,Europe,Frankfurt,219 ms,8556 kB/s
131.186.31.239,443,true,SIN,Asia Pacific,Singapore,188 ms,8521 kB/s
8.219.246.105,443,true,SIN,Asia Pacific,Singapore,146 ms,8506 kB/s
140.238.60.225,443,true,NRT,Asia Pacific,Tokyo,295 ms,8425 kB/s
8.219.52.153,443,true,SIN,Asia Pacific,Singapore,97 ms,8278 kB/s
8.222.245.0,443,true,SIN,Asia Pacific,Singapore,238 ms,8942 kB/s
8.219.198.76,443,true,SIN,Asia Pacific,Singapore,146 ms,8942 kB/s
152.67.203.34,443,true,ICN,Asia Pacific,Seoul,97 ms,8938 kB/s
144.24.68.35,443,true,SIN,Asia Pacific,Singapore,146 ms,8870 kB/s
