IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
129.153.223.37,443,443,TRUE,LA■▲X,North America,Los Angeles,216,43.57
140.238.5.32,443,443,TRUE,ICN■▲,Asia Pacific,Seoul,84,64.57
193.123.183.24,443,443,TRUE,FRA■▲,Europe,Frankfurt,297,71.57
146.56.101.141,443,443,TRUE,ICN■▲,Asia Pacific,Seoul,106,72.57
144.24.73.232,443,443,TRUE,ICN■▲,Asia Pacific,Seoul,144,,85.57
104.27.68.181,443,443,TRUE,美国1,Asia Pacific,Tokyo,78,20.71
104.27.7.188,443,443,TRUE,美国2,Asia Pacific,Tokyo,142,21.71
162.159.38.41,443,443,TRUE,美国3,Asia Pacific,Tokyo,81,22.71
104.27.17.42,443,443,TRUE,美国4,Asia Pacific,Tokyo,112,23.71
104.27.113.85,443,443,TRUE,美国5,Asia Pacific,Tokyo,78,24.71
104.27.22.74,443,443,TRUE,美国6,Asia Pacific,Tokyo,128,25.71
104.27.23.213,443,443,TRUE,美国7,Asia Pacific,Tokyo,109,26.71
104.27.16.204,443,443,TRUE,美国8,Europe,London,164,27.71
104.27.19.144,443,443,TRUE,美国9,Asia Pacific,Tokyo,101,28.71
104.27.116.191,443,443,TRUE,美国10,Asia Pacific,Tokyo,77,29.71
104.19.36.66,443,443,TRUE,美国11,Asia Pacific,Tokyo,77,29.71
104.19.11.236,443,443,TRUE,美国13,Asia Pacific,Tokyo,77,29.71
104.17.246.187,443,443,TRUE,美国14,Asia Pacific,Tokyo,77,29.71
162.159.46.27,443,443,TRUE,美国15,Asia Pacific,Tokyo,77,29.71
104.19.164.75,443,443,TRUE,美国16,Asia Pacific,Tokyo,77,29.71
172.64.34.84,443,443,TRUE,美国17,Asia Pacific,Tokyo,77,29.71
104.17.141.176,443,443,TRUE,美国18,Asia Pacific,Tokyo,77,29.71
104.17.22.98,443,443,TRUE,美国19,Asia Pacific,Tokyo,77,29.71
104.16.54.157,443,443,TRUE,美国20,Asia Pacific,Tokyo,77,29.71
104.16.42.22,443,443,TRUE,美国21,Asia Pacific,Tokyo,77,29.71
104.16.46.190,443,443,TRUE,美国22,Asia Pacific,Tokyo,77,29.71
104.16.62.205,443,443,TRUE,美国23,Asia Pacific,Tokyo,77,29.71
104.17.27.250,443,443,TRUE,美国24,Asia Pacific,Tokyo,77,29.71
104.17.16.32,443,443,TRUE,美国25,Asia Pacific,Tokyo,77,29.71
104.17.23.95,443,443,TRUE,美国26,Asia Pacific,Tokyo,77,29.71
104.16.57.21,443,443,TRUE,美国27,Asia Pacific,Tokyo,77,29.71
104.16.61.236,443,443,TRUE,美国28,Asia Pacific,Tokyo,77,29.71
104.16.46.167,443,443,TRUE,美国29,Asia Pacific,Tokyo,77,29.71
104.16.45.47,443,443,TRUE,美国30,Asia Pacific,Tokyo,77,29.71
104.16.98.74,443,443,TRUE,美国31,Asia Pacific,Tokyo,77,29.71
104.17.28.209,443,443,TRUE,美国32,Asia Pacific,Tokyo,77,29.71
104.16.62.11,443,443,TRUE,美国33,Asia Pacific,Tokyo,77,29.71
104.16.47.94,443,443,TRUE,美国34,Asia Pacific,Tokyo,77,29.71
104.16.63.146,443,443,TRUE,美国35,Asia Pacific,Tokyo,77,29.71
104.16.33.201,443,443,TRUE,美国36,Asia Pacific,Tokyo,77,29.71
104.17.26.124,443,443,TRUE,美国37,Asia Pacific,Tokyo,77,29.71
104.16.32.60,443,443,TRUE,美国38,Asia Pacific,Tokyo,77,29.71
104.17.16.146,443,443,TRUE,美国39,Asia Pacific,Tokyo,77,29.71
104.16.105.207,443,443,TRUE,美国40,Asia Pacific,Tokyo,77,29.71
104.17.25.35,443,443,TRUE,美国41,Asia Pacific,Tokyo,77,29.71
104.17.21.28,443,443,TRUE,美国42,Asia Pacific,Tokyo,77,29.71
104.16.42.167,443,443,TRUE,美国43,Asia Pacific,Tokyo,77,29.71
104.16.39.168,443,443,TRUE,美国44,Asia Pacific,Tokyo,77,29.71
104.16.43.96,443,443,TRUE,美国45,Asia Pacific,Tokyo,77,29.71
104.16.37.162,443,443,TRUE,美国46,Asia Pacific,Tokyo,77,29.71
104.16.48.217,443,443,TRUE,美国47,Asia Pacific,Tokyo,77,29.71
104.19.69.5,443,443,TRUE,美国48,Asia Pacific,Tokyo,77,29.71
104.19.19.93,443,443,TRUE,美国49,Asia Pacific,Tokyo,77,29.71
104.18.105.80,443,443,TRUE,美国50,Asia Pacific,Tokyo,77,29.71
104.17.248.251,443,443,TRUE,美国51,Asia Pacific,Tokyo,77,29.71
104.16.0.9,443,443,TRUE,美国52,Asia Pacific,Tokyo,77,29.71
104.18.109.171,443,443,TRUE,美国53,Asia Pacific,Tokyo,77,29.71
104.16.168.240,443,443,TRUE,美国54,Asia Pacific,Tokyo,77,29.71
104.16.141.136,443,443,TRUE,美国55,Asia Pacific,Tokyo,77,29.71
104.17.215.23,443,443,TRUE,美国56,Asia Pacific,Tokyo,77,29.71
172.64.151.152,443,443,TRUE,美国57,Asia Pacific,Tokyo,77,29.71
