IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
129.154.207.203,443,TRUE,ICN?,Asia Pacific,Seoul,72 ms,89870 kB/s
158.180.84.60,443,TRUE,ICN?,Asia Pacific,Seoul,122 ms,89196 kB/s
8.219.95.233,443,TRUE,SIN?,Asia Pacific,Singapore,108 ms,88432 kB/s
8.219.236.171,443,TRUE,SIN?,Asia Pacific,Singapore,146 ms,88346 kB/s
8.219.51.229,443,TRUE,SIN?,Asia Pacific,Singapore,123 ms,88175 kB/s
8.219.209.26,443,TRUE,SIN?,Asia Pacific,Singapore,142 ms,87702 kB/s
8.210.171.28,443,TRUE,HKG?,Asia Pacific,Hong Kong,81 ms,87488 kB/s
146.56.114.201,443,TRUE,ICN?,Asia Pacific,Seoul,107 ms,87423 kB/s
158.180.92.166,443,TRUE,ICN?,Asia Pacific,Seoul,123 ms,87394 kB/s
8.219.136.176,443,TRUE,SIN?,Asia Pacific,Singapore,126 ms,87305 kB/s
47.243.249.213,443,TRUE,HKG?,Asia Pacific,Hong Kong,63 ms,87113 kB/s
8.219.138.190,443,TRUE,SIN?,Asia Pacific,Singapore,116 ms,87030 kB/s
8.219.185.178,443,TRUE,SIN?,Asia Pacific,Singapore,354 ms,87011 kB/s
8.219.192.15,443,TRUE,SIN?,Asia Pacific,Singapore,125 ms,88874 kB/s
144.24.85.159,443,TRUE,SIN?,Asia Pacific,Singapore,158 ms,86813 kB/s
8.219.97.247,443,TRUE,SIN,Asia Pacific,Singapore,133 ms,88397 kB/s
8.219.254.109,443,TRUE,SIN?,Asia Pacific,Singapore,181 ms,87904 kB/s
193.122.110.139,443,TRUE,SIN?,Asia Pacific,Singapore,170 ms,87754 kB/s
152.67.203.34,443,TRUE,ICN?,Asia Pacific,Seoul,157 ms,87422 kB/s
8.219.100.233,443,TRUE,SIN?,Asia Pacific,Singapore,160 ms,88303 kB/s
130.162.141.143,443,TRUE,SIN?,Asia Pacific,Singapore,185 ms,87010 kB/s
158.180.88.204,443,TRUE,SIN?,Asia Pacific,Singapore,189 ms,88629 kB/s
47.74.42.114,443,TRUE,NRT?,Asia Pacific,Tokyo,120 ms,88520 kB/s
193.122.125.223,443,TRUE,ICN?,Asia Pacific,Seoul,125 ms,88228 kB/s
8.219.162.141,443,TRUE,SIN?,Asia Pacific,Singapore,195 ms,88915 kB/s
130.162.135.235,443,TRUE,SIN?,Asia Pacific,Singapore,189 ms,88801 kB/s
152.70.240.245,443,TRUE,SIN?,Asia Pacific,Singapore,214 ms,88761 kB/s
144.24.87.250,443,TRUE,SIN?,Asia Pacific,Singapore,189 ms,88537 kB/s
8.219.68.66,443,TRUE,SIN?,Asia Pacific,Singapore,137 ms,88427 kB/s
152.69.224.39,443,TRUE,SIN?,Asia Pacific,Singapore,188 ms,88344 kB/s
8.219.118.2,443,TRUE,SIN?,Asia Pacific,Singapore,143 ms,88298 kB/s
138.2.123.70,443,TRUE,ICN?,Asia Pacific,Seoul,169 ms,88276 kB/s
8.219.11.168,443,TRUE,SIN?,Asia Pacific,Singapore,155 ms,88935 kB/s
140.238.5.32,443,TRUE,ICN?,Asia Pacific,Seoul,106 ms,88890 kB/s
8.219.172.60,443,TRUE,SIN?,Asia Pacific,Singapore,161 ms,88735 kB/s
140.238.23.148,443,TRUE,ICN?,Asia Pacific,Seoul,96 ms,88599 kB/s
146.56.101.141,443,TRUE,ICN?,Asia Pacific,Seoul,152 ms,88430 kB/s
129.154.207.203,443,TRUE,ICN?,Asia Pacific,Seoul,119 ms,88007 kB/s
131.186.27.112,2096,TRUE,ICN?,Asia Pacific,Seoul,105 ms,88603 kB/s
131.186.25.156,2087,TRUE,ICN,Asia Pacific,Seoul,84 ms,88167 kB/s
144.24.86.158,443,TRUE,ICN?,Asia Pacific,Seoul,125 ms,85069 kB/s
141.148.238.1,443,TRUE,FRA?,Europe,Frankfurt,332 ms,85040 kB/s
8.219.73.178,443,TRUE,SIN?,Asia Pacific,Singapore,104 ms,85036 kB/s
8.222.150.244,443,TRUE,SIN?,Asia Pacific,Singapore,230 ms,85025 kB/s
8.222.210.183,443,TRUE,SIN?,Asia Pacific,Singapore,226 ms,84998 kB/s
158.180.69.87,443,TRUE,SIN?,Asia Pacific,Singapore,142 ms,84968 kB/s
193.122.97.248,443,TRUE,ICN?,Asia Pacific,Seoul,87 ms,84929 kB/s
141.148.238.147,443,TRUE,FRA?,Europe,Frankfurt,222 ms,84900 kB/s
141.144.255.54,443,TRUE,FRA?,Europe,Frankfurt,318 ms,84844 kB/s
